Timestamp,Score,Teie vanus,Teie sugu,Kõrgeim omandatud haridustase,Kas te olete kunagi õppinud või töötanud tehisintellekti valdkonnas?,Kas olete sarnast testi varem teinud?,"Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kas see teos on inimese loodud?,"Kui paljud inimesed teie arvates vastavad, et selle teose on loonud inimene? [Ma ütleks...]",Kas see teos on inimese loodud?,"Kui paljud inimesed teie arvates vastavad, et selle teose on loonud inimene? [Ma ütleks...]"
4/28/2020 20:19:37,9 / 10,33,N,MSc,Ei,Ei,Pigem jah,80%,Kindlasti mitte,30%,Pigem ei,40%,Pigem ei,40%,Pigem vasakpoolne,60%,Pigem parempoolne,20%,Pigem parempoolne,30%,Pigem vasakpoolne,80%,"Jah, kindlasti",80%,Pigem ei,20%
4/29/2020 3:11:15,5 / 10,53,M,Bakalaureusekraad,Ei,Ei,Pigem jah,50%,Pigem jah,50%,Pigem jah,50%,"Jah, kindlasti",60%,Pigem parempoolne,60%,Pigem parempoolne,60%,Pigem vasakpoolne,50%,Pigem vasakpoolne,50%,Pigem ei,50%,Pigem ei,50%
4/29/2020 14:35:45,5 / 10,28,M,Bakalaureusekraad,Ei,Ei,Pigem jah,80%,Pigem ei,80%,Pigem ei,80%,Pigem jah,70%,Pigem parempoolne,60%,Kindlasti vasakpoolne,70%,Pigem parempoolne,60%,Pigem vasakpoolne,40%,Kindlasti mitte,60%,Kindlasti mitte,60%
4/29/2020 19:02:40,4 / 10,43,M,Keskharidus,Ei,Ei,Pigem ei,70%,Kindlasti mitte,70%,Kindlasti mitte,60%,"Jah, kindlasti",70%,Pigem vasakpoolne,40%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem parempoolne,40%,Pigem ei,40%,Pigem ei,50%
4/30/2020 9:25:41,4 / 10,45,N,Bakalaureusekraad,Ei,Ei,Pigem ei,40%,Pigem ei,50%,Pigem ei,40%,Pigem ei,50%,Ma ei tea,50%,Ma ei tea,50%,Pigem parempoolne,50%,Kindlasti vasakpoolne,60%,Ma ei tea,50%,Ma ei tea,50%
4/30/2020 13:07:34,7 / 10,27,M,Bakalaureusekraad,Ei,Ei,Pigem ei,30%,Pigem ei,50%,Pigem ei,20%,Pigem jah,70%,Pigem vasakpoolne,30%,Pigem parempoolne,30%,Pigem parempoolne,40%,Pigem vasakpoolne,40%,Pigem jah,60%,Pigem ei,30%
5/1/2020 13:41:34,3 / 10,33,M,MSc,Ei,Ei,Pigem ei,50%,Kindlasti mitte,30%,"Jah, kindlasti",100%,Ma ei tea,50%,Pigem parempoolne,40%,Kindlasti parempoolne,0%,Pigem vasakpoolne,70%,Pigem parempoolne,30%,Pigem ei,30%,Pigem jah,80%
5/1/2020 15:18:43,5 / 10,31,M,Bakalaureusekraad,Ei,Ei,Pigem jah,90%,Pigem jah,90%,Pigem ei,40%,Pigem ei,80%,Pigem vasakpoolne,70%,Pigem vasakpoolne,80%,Pigem vasakpoolne,80%,Pigem vasakpoolne,70%,Pigem ei,90%,Pigem ei,50%
5/2/2020 11:18:39,3 / 10,29,N,Bakalaureusekraad,Ei,Ei,Pigem ei,90%,Pigem jah,90%,Kindlasti mitte,60%,"Jah, kindlasti",90%,Kindlasti parempoolne,90%,Pigem vasakpoolne,90%,Pigem parempoolne,90%,Pigem parempoolne,90%,Pigem jah,90%,Pigem ei,40%
5/2/2020 11:45:50,8 / 10,23,N,Keskharidus,Ei,Ei,Pigem jah,70%,Pigem jah,90%,Pigem jah,80%,Pigem ei,40%,Kindlasti vasakpoolne,70%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,70%,Pigem jah,50%,Pigem ei,10%
5/2/2020 11:46:30,9 / 10,29,M,Keskharidus,Ei,Ei,"Jah, kindlasti",60%,Pigem ei,30%,"Jah, kindlasti",80%,Pigem jah,50%,Pigem vasakpoolne,20%,Pigem parempoolne,20%,Pigem parempoolne,20%,Pigem vasakpoolne,50%,"Jah, kindlasti",60%,Pigem ei,50%
5/2/2020 12:08:52,6 / 10,20,M,Keskharidus,Ei,Ei,Pigem ei,70%,Kindlasti mitte,30%,Pigem ei,50%,Pigem jah,80%,Kindlasti vasakpoolne,60%,Kindlasti parempoolne,20%,Pigem parempoolne,40%,Pigem vasakpoolne,20%,Pigem ei,10%,Kindlasti mitte,10%
5/2/2020 16:01:20,6 / 10,39,M,Keskharidus,Ei,Ei,Pigem jah,80%,Pigem ei,50%,Pigem jah,80%,Pigem jah,100%,Kindlasti parempoolne,80%,Pigem vasakpoolne,50%,Pigem parempoolne,70%,Pigem vasakpoolne,70%,Pigem ei,50%,Pigem ei,50%
5/2/2020 18:05:29,7 / 10,28,N,Keskharidus,Ei,Ei,"Jah, kindlasti",80%,Pigem ei,60%,Pigem ei,60%,Pigem jah,80%,Pigem parempoolne,40%,Pigem parempoolne,40%,Kindlasti parempoolne,40%,Pigem vasakpoolne,70%,Pigem jah,40%,Pigem ei,30%
5/3/2020 19:13:17,6 / 10,45,N,Keskharidus,Ei,Ei,"Jah, kindlasti",80%,"Jah, kindlasti",70%,"Jah, kindlasti",80%,Pigem jah,70%,Kindlasti parempoolne,60%,Pigem parempoolne,60%,Pigem vasakpoolne,40%,Kindlasti vasakpoolne,40%,"Jah, kindlasti",80%,Kindlasti mitte,100%
5/3/2020 21:19:04,7 / 10,56,N,MSc,Ei,Ei,"Jah, kindlasti",50%,Pigem ei,30%,Pigem jah,40%,Pigem ei,70%,Pigem parempoolne,80%,Pigem parempoolne,50%,Pigem vasakpoolne,80%,Pigem vasakpoolne,60%,"Jah, kindlasti",90%,Pigem jah,40%
5/3/2020 21:34:19,2 / 10,21,N,Keskharidus,Ei,Ei,Pigem ei,70%,Ma ei tea,60%,Pigem ei,50%,Pigem ei,50%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Ma ei tea,60%,Ma ei tea,60%
5/4/2020 15:53:54,8 / 10,32,N,MSc,Ei,Ei,Pigem jah,50%,Pigem ei,20%,Pigem ei,50%,Pigem jah,60%,Pigem vasakpoolne,60%,Pigem parempoolne,60%,Pigem parempoolne,50%,Kindlasti vasakpoolne,70%,Pigem jah,60%,Pigem ei,20%
5/7/2020 11:47:23,6 / 10,33,N,Bakalaureusekraad,Ei,Ei,Pigem jah,90%,Pigem jah,70%,Pigem jah,80%,Pigem ei,70%,Pigem parempoolne,90%,Pigem vasakpoolne,80%,Pigem parempoolne,80%,Pigem vasakpoolne,70%,Ma ei tea,70%,Pigem ei,80%
5/8/2020 15:59:54,5 / 10,40,M,Keskharidus,Ei,Ei,Kindlasti mitte,60%,"Jah, kindlasti",70%,Kindlasti mitte,20%,Kindlasti mitte,50%,Pigem vasakpoolne,30%,Kindlasti parempoolne,70%,Kindlasti parempoolne,70%,Kindlasti parempoolne,70%,Kindlasti mitte,60%,Kindlasti mitte,80%
5/9/2020 19:49:00,6 / 10,37,N,MSc,Ei,Ei,Pigem ei,50%,Pigem ei,30%,Pigem ei,80%,Pigem jah,80%,Pigem vasakpoolne,70%,Pigem parempoolne,20%,Pigem parempoolne,40%,Pigem vasakpoolne,70%,Pigem ei,50%,Pigem ei,70%
5/9/2020 23:36:26,7 / 10,46,N,MSc,Ei,Ei,Pigem ei,20%,Pigem ei,20%,Pigem ei,20%,Pigem ei,20%,Pigem vasakpoolne,60%,Pigem parempoolne,40%,Pigem parempoolne,20%,Pigem parempoolne,60%,"Jah, kindlasti",70%,Pigem ei,30%
5/12/2020 10:31:08,6 / 10,49,N,MSc,Ei,Ei,"Jah, kindlasti",80%,Pigem ei,70%,"Jah, kindlasti",80%,Pigem ei,60%,Pigem parempoolne,10%,Kindlasti vasakpoolne,90%,Pigem vasakpoolne,90%,Pigem parempoolne,70%,Pigem jah,70%,Kindlasti mitte,40%
5/12/2020 18:30:46,6 / 10,32,N,Bakalaureusekraad,Ei,Ei,Pigem jah,70%,Pigem ei,50%,Pigem jah,80%,Pigem ei,70%,Pigem parempoolne,30%,Pigem vasakpoolne,60%,Pigem vasakpoolne,50%,Pigem vasakpoolne,70%,Pigem ei,60%,Pigem ei,20%
5/12/2020 20:15:54,6 / 10,47,M,MSc,Ei,Jah,Pigem jah,70%,Pigem jah,80%,Pigem jah,70%,Pigem jah,70%,Pigem vasakpoolne,50%,Pigem vasakpoolne,70%,Pigem vasakpoolne,50%,Pigem vasakpoolne,90%,Pigem jah,50%,Pigem ei,30%
5/13/2020 15:15:30,6 / 10,41,M,MSc,Ei,Ei,Pigem jah,60%,Pigem jah,70%,Pigem jah,60%,Pigem ei,50%,Kindlasti parempoolne,80%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,60%,Pigem jah,60%,Pigem ei,60%
5/16/2020 16:08:30,6 / 10,31,M,Keskharidus,Ei,Ei,"Jah, kindlasti",40%,Pigem ei,50%,"Jah, kindlasti",10%,Pigem jah,20%,Kindlasti parempoolne,20%,Pigem parempoolne,20%,Pigem parempoolne,30%,Kindlasti vasakpoolne,30%,Pigem ei,20%,Pigem jah,20%
5/17/2020 10:58:36,3 / 10,33,N,MSc,Ei,Ei,Ma ei tea,70%,Ma ei tea,80%,Pigem jah,90%,Pigem jah,80%,Ma ei tea,50%,Pigem parempoolne,50%,Ma ei tea,50%,Ma ei tea,60%,Ma ei tea,80%,Pigem ei,40%
5/17/2020 11:51:48,6 / 10,41,M,Bakalaureusekraad,Ei,Ei,Pigem ei,60%,Kindlasti mitte,20%,Kindlasti mitte,10%,Pigem jah,70%,Kindlasti vasakpoolne,70%,Pigem parempoolne,50%,Kindlasti parempoolne,70%,Pigem parempoolne,30%,Pigem jah,50%,Pigem ei,70%
5/17/2020 15:28:18,9 / 10,34,N,MSc,Ei,Ei,"Jah, kindlasti",80%,Pigem jah,50%,"Jah, kindlasti",80%,Pigem ei,70%,Pigem vasakpoolne,40%,Pigem parempoolne,90%,Pigem parempoolne,80%,Pigem vasakpoolne,90%,"Jah, kindlasti",70%,Pigem ei,30%
5/17/2020 21:32:36,5 / 10,37,N,MSc,Ei,Ei,Pigem ei,20%,Kindlasti mitte,20%,Pigem ei,40%,Kindlasti mitte,50%,Kindlasti parempoolne,80%,Kindlasti vasakpoolne,50%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem ei,30%,Kindlasti mitte,10%
5/17/2020 22:52:44,3 / 10,34,N,MSc,Ei,Ei,Ma ei tea,70%,Pigem ei,60%,Pigem ei,50%,Pigem jah,70%,Pigem parempoolne,60%,Pigem vasakpoolne,60%,Pigem parempoolne,50%,Pigem vasakpoolne,60%,Pigem ei,40%,Ma ei tea,30%
5/19/2020 0:02:00,6 / 10,23,N,Bakalaureusekraad,Ei,Ei,Pigem ei,50%,Kindlasti mitte,50%,"Jah, kindlasti",80%,Kindlasti mitte,50%,Pigem parempoolne,70%,Kindlasti vasakpoolne,80%,Kindlasti vasakpoolne,50%,Kindlasti vasakpoolne,80%,Pigem jah,60%,Kindlasti mitte,20%
5/26/2020 0:38:29,3 / 10,31,M,Bakalaureusekraad,Ei,Ei,Kindlasti mitte,10%,Pigem jah,80%,Pigem jah,80%,Pigem jah,80%,Pigem parempoolne,20%,Kindlasti vasakpoolne,70%,Pigem vasakpoolne,60%,Kindlasti vasakpoolne,80%,Pigem ei,30%,Pigem ei,50%
5/26/2020 12:50:09,6 / 10,35,M,Bakalaureusekraad,Ei,Ei,Pigem ei,60%,Pigem ei,70%,Kindlasti mitte,40%,Pigem ei,60%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,40%,Ma ei tea,50%,Pigem jah,50%,Pigem jah,40%
5/26/2020 20:19:08,9 / 10,43,N,MSc,Ei,Ei,Pigem ei,40%,Pigem ei,60%,Pigem jah,40%,Pigem ei,70%,Kindlasti vasakpoolne,70%,Pigem parempoolne,30%,Pigem parempoolne,50%,Pigem vasakpoolne,60%,Pigem jah,60%,Pigem ei,70%
